k;b;psi_s;phi;Sr_l;Sr_g
5.000000E-14;3.000000E+00;-6.000000E-01;4.000000E-01;5.000000E-02;5.000000E-02
5.250000E-13;5.000000E+00;-3.500000E-01;4.500000E-01;1.250000E-01;1.250000E-01
2.875000E-13;6.000000E+00;-4.750000E-01;4.750000E-01;8.750000E-02;1.625000E-01
7.625000E-13;4.000000E+00;-2.250000E-01;4.250000E-01;1.625000E-01;8.750000E-02
1.687500E-13;5.500000E+00;-1.625000E-01;4.875000E-01;1.437500E-01;6.875000E-02
6.437500E-13;3.500000E+00;-4.125000E-01;4.375000E-01;6.875000E-02;1.437500E-01
4.062500E-13;4.500000E+00;-2.875000E-01;4.125000E-01;1.812500E-01;1.812500E-01
8.812500E-13;6.500000E+00;-5.375000E-01;4.625000E-01;1.062500E-01;1.062500E-01
1.093750E-13;6.750000E+00;-2.562500E-01;4.312500E-01;7.812500E-02;5.937500E-02
5.843750E-13;4.750000E+00;-5.062500E-01;4.812500E-01;1.531250E-01;1.343750E-01
3.468750E-13;3.750000E+00;-1.312500E-01;4.562500E-01;1.156250E-01;1.718750E-01
8.218750E-13;5.750000E+00;-3.812500E-01;4.062500E-01;1.906250E-01;9.687500E-02
2.281250E-13;4.250000E+00;-4.437500E-01;4.687500E-01;1.343750E-01;7.812500E-02
7.031250E-13;6.250000E+00;-1.937500E-01;4.187500E-01;5.937500E-02;1.531250E-01
4.656250E-13;5.250000E+00;-5.687500E-01;4.437500E-01;1.718750E-01;1.906250E-01
9.406250E-13;3.250000E+00;-3.187500E-01;4.937500E-01;9.687500E-02;1.156250E-01
7.968750E-14;5.125000E+00;-3.968750E-01;4.218750E-01;1.203125E-01;9.218750E-02
5.546875E-13;3.125000E+00;-1.468750E-01;4.718750E-01;1.953125E-01;1.671875E-01
3.171875E-13;4.125000E+00;-5.218750E-01;4.968750E-01;8.281250E-02;1.296875E-01
7.921875E-13;6.125000E+00;-2.718750E-01;4.468750E-01;1.578125E-01;5.468750E-02
1.984375E-13;3.625000E+00;-3.343750E-01;4.843750E-01;1.765625E-01;1.109375E-01
6.734375E-13;5.625000E+00;-5.843750E-01;4.343750E-01;1.015625E-01;1.859375E-01
4.359375E-13;6.625000E+00;-2.093750E-01;4.093750E-01;1.390625E-01;1.484375E-01
9.109375E-13;4.625000E+00;-4.593750E-01;4.593750E-01;6.406250E-02;7.343750E-02
1.390625E-13;4.875000E+00;-1.781250E-01;4.406250E-01;9.218750E-02;1.015625E-01
6.140625E-13;6.875000E+00;-4.281250E-01;4.906250E-01;1.671875E-01;1.765625E-01
3.765625E-13;5.875000E+00;-3.031250E-01;4.656250E-01;5.468750E-02;1.390625E-01
8.515625E-13;3.875000E+00;-5.531250E-01;4.156250E-01;1.296875E-01;6.406250E-02
2.578125E-13;6.375000E+00;-4.906250E-01;4.531250E-01;1.859375E-01;1.203125E-01
7.328125E-13;4.375000E+00;-2.406250E-01;4.031250E-01;1.109375E-01;1.953125E-01
4.953125E-13;3.375000E+00;-3.656250E-01;4.281250E-01;1.484375E-01;1.578125E-01
9.703125E-13;5.375000E+00;-1.156250E-01;4.781250E-01;7.343750E-02;8.281250E-02
